threads,throughput_req_per_s,lat_avg_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,cpu_avg_pct
2,6567.4,0.04,0.03,0.05,0.07,8.47
4,10127.8,0.04,0.04,0.06,0.07,5.15
8,10825.8,0.05,0.04,0.07,0.09,9.50
16,10904.1,0.04,0.04,0.08,0.11,9.97
32,11061.9,0.04,0.04,0.07,0.09,6.97
64,10085.1,0.04,0.04,0.07,0.11,7.13
128,9250.7,0.05,0.04,0.07,1.06,5.60
